index,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,lat,lng,building,addr,postal,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
5327,332,WOODLANDS AVE 1,4,1985,Y,N,N,N,N,N,WL,16,0,0,0,16,0,0,0,0,0,0,0,0,1.429746748,103.7791349,NIL,332 WOODLANDS AVENUE 1 SINGAPORE 730332,730332,5,WOODGROVE,WDSZ05,WOODLANDS,WD,NORTH REGION,NR
5328,332,YISHUN RING RD,12,1988,Y,N,N,N,N,N,YS,88,0,0,0,48,40,0,0,0,0,0,0,0,1.430467857,103.8434667,YISHUN RIVERGREEN,332 YISHUN RING ROAD YISHUN RIVERGREEN SINGAPORE 760332,760332,3,YISHUN EAST,YSSZ03,YISHUN,YS,NORTH REGION,NR
5329,332A,ANCHORVALE LINK,16,2014,Y,N,N,N,N,N,SK,90,0,0,0,60,30,0,0,0,0,0,0,0,1.395321644,103.8911368,ANCHORVALE ISLES,332A ANCHORVALE LINK ANCHORVALE ISLES SINGAPORE 541332,541332,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
5330,332B,ANCHORVALE LINK,16,2014,Y,N,N,Y,N,N,SK,120,0,0,0,75,45,0,0,0,0,0,0,0,1.395107948,103.8914562,ANCHORVALE ISLES,332B ANCHORVALE LINK ANCHORVALE ISLES SINGAPORE 542332,542332,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
5331,332C,ANCHORVALE LINK,16,2014,Y,N,N,N,N,N,SK,120,0,0,0,60,60,0,0,0,0,0,0,0,1.395002196,103.891961,ANCHORVALE ISLES,332C ANCHORVALE LINK ANCHORVALE ISLES SINGAPORE 543332,543332,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
5332,333,ANG MO KIO AVE 1,11,1980,Y,N,N,N,N,N,AMK,179,0,0,158,20,0,1,0,0,0,0,0,0,1.361342556,103.8516986,TECK GHEE VIEW,333 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560333,560333,4,TOWNSVILLE,AMSZ04,ANG MO KIO,AM,NORTH-EAST REGION,NER
5333,333,ANCHORVALE LINK,1,2014,N,N,N,N,N,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,1.394670133,103.8920541,ANCHORVALE ISLES,333 ANCHORVALE LINK ANCHORVALE ISLES SINGAPORE 540333,540333,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
5334,333,BT BATOK ST 32,10,1985,Y,N,N,N,N,N,BB,132,0,0,75,56,0,0,0,0,0,0,1,0,1.364182056,103.7477973,NIL,333 BUKIT BATOK STREET 32 SINGAPORE 650333,650333,2,HONG KAH NORTH,BKSZ02,BUKIT BATOK,BK,WEST REGION,WR
5335,333,CLEMENTI AVE 2,14,1977,Y,N,N,Y,N,N,CL,130,0,0,0,130,0,0,0,0,0,0,0,0,1.315162281,103.767488,TOUCH CHILD CARE & FAMILY CENTRE (CLEMENTI),333 CLEMENTI AVENUE 2 TOUCH CHILD CARE & FAMILY CENTRE (CLEMENTI) SINGAPORE 120333,120333,4,CLEMENTI NORTH,CLSZ04,CLEMENTI,CL,WEST REGION,WR
5336,333,HOUGANG AVE 5,4,1982,Y,N,N,N,N,N,HG,24,0,0,16,8,0,0,0,0,0,0,0,0,1.368497615,103.898423,NIL,333 HOUGANG AVENUE 5 SINGAPORE 530333,530333,2,KANGKAR,HGSZ02,HOUGANG,HG,NORTH-EAST REGION,NER
5337,333,JURONG EAST AVE 1,4,1983,Y,N,N,N,N,N,JE,12,0,0,0,0,0,12,0,0,0,0,0,0,1.351241584,103.7309614,NIL,333 JURONG EAST AVENUE 1 SINGAPORE 600333,600333,1,YUHUA WEST,JESZ01,JURONG EAST,JE,WEST REGION,WR
5338,333,KANG CHING RD,13,1995,Y,N,N,Y,N,N,JW,53,0,0,0,0,0,53,0,0,0,0,0,0,1.339279332,103.7234416,NIL,333 KANG CHING ROAD SINGAPORE 610333,610333,4,TAMAN JURONG,JWSZ04,JURONG WEST,JW,WEST REGION,WR
5339,333,KRETA AYER RD,19,1981,Y,Y,N,Y,N,N,CT,126,0,0,0,0,0,0,0,0,0,126,0,0,1.280748337,103.8424634,NIL,333 KRETA AYER ROAD SINGAPORE 080333,80333,3,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
5340,333,SERANGOON AVE 3,12,1985,Y,N,N,N,N,N,SGN,88,0,0,0,48,40,0,0,0,0,0,0,0,1.350497458,103.8704402,NIL,333 SERANGOON AVENUE 3 SINGAPORE 550333,550333,6,SERANGOON CENTRAL,SGSZ06,SERANGOON,SG,NORTH-EAST REGION,NER
5341,333,SEMBAWANG CL,16,1998,Y,N,N,N,N,N,SB,107,0,0,0,31,31,45,0,0,0,0,0,0,1.446990209,103.8164162,NIL,333 SEMBAWANG CLOSE SINGAPORE 750333,750333,3,SEMBAWANG CENTRAL,SBSZ03,SEMBAWANG,SB,NORTH REGION,NR
5342,333,TAMPINES ST 32,10,1994,Y,Y,N,N,N,N,TAP,52,0,0,0,0,0,52,0,0,0,0,0,0,1.353164805,103.9610415,HDB PUBLIC SHELTERS,333 TAMPINES STREET 32 HDB PUBLIC SHELTERS SINGAPORE 520333,520333,2,TAMPINES EAST,TMSZ02,TAMPINES,TM,EAST REGION,ER
5343,333,UBI AVE 1,15,1985,Y,N,N,N,N,N,GL,70,0,0,0,0,0,70,0,0,0,0,0,0,1.326697048,103.9029833,KAMPONG UBI VIEW,333 UBI AVENUE 1 KAMPONG UBI VIEW SINGAPORE 400333,400333,3,KAMPONG UBI,GLSZ03,GEYLANG,GL,CENTRAL REGION,CR
5344,333,WOODLANDS ST 32,4,1984,Y,N,N,N,N,N,WL,16,0,0,0,16,0,0,0,0,0,0,0,0,1.429766747,103.7800018,NIL,333 WOODLANDS STREET 32 SINGAPORE 730333,730333,5,WOODGROVE,WDSZ05,WOODLANDS,WD,NORTH REGION,NR
